,Kospi지수,원/달러 환율,원/엔 환율,국고채 3년 금리(%),국고채 10년 금리(%),kospi_per,kospi_pbr,vkospi200,g10_esi(%),wti,ustb_2y(%),ustb_10y(%),ustips_10y(%),vix(%),EPU index,usa_pmi,china_pmi,kr_export(%),kr_cpi_yoy(%),uscpi_yoy(%),treasury_10_3_diff(%),us_10_2_diff(%),us_e_infla(%),kr_real_rate(%),lables
2019-09-01,2063.05,1193.775238095238,11.095857142857144,1.2859047604761902,1.4194761904761906,14.09,0.85,14.829999999999998,1.475,56.95,1.648,1.6994999999999998,0.11565,15.558999999999996,118.307,48.2,51.4,-11.8,-0.4,1.7,0.13357143,0.101578947368421,1.64493,1.6859047604761903,2
2019-12-01,2197.6699,1171.7227272727273,10.726818181818182,1.3948181813636364,1.6561363613636362,18.2,0.89,13.713000000000005,-6.175,59.88,1.613333333333333,1.8628571428571428,0.1447619047619047,13.756666666666664,121.3074193548387,47.8,51.5,-6.1,0.7,2.1,0.2613181799999999,0.5495238095238094,1.70378,0.6948181813636365,0
2020-03-01,1754.64,1216.5263636363636,11.286954545454549,1.0924090909090909,1.484727272727273,14.66,0.71,47.443636363636365,21.275,29.21,0.4481818181818182,0.8699999999999997,0.0636190476190476,57.73681818181817,380.3896774193547,49.1,50.1,-1.8,0.8,2.3,0.3923181818181818,0.4218181818181818,0.98707,0.2924090909090908,2
2020-06-01,2108.3301,1206.9300000000003,11.199363636363636,0.8489090909090908,1.391363636363636,24.18,0.87,30.67045454545455,0.6000000000000014,38.31,0.185,0.7286363636363636,-0.0544545454545454,31.119545454545456,313.916,52.6,51.2,-10.9,0.2,0.1,0.5424545454545454,0.9527272727272728,0.51276,0.6489090909090909,1
2020-09-01,2327.8899,1177.2572727272727,11.131636363636362,0.9055454545454544,1.497318181818182,27.79,0.95,24.19523809523809,119.025,39.63,0.1347619047619047,0.6795238095238095,-0.0976666666666667,27.64761904761904,247.73666666666668,55.7,53.0,7.2,0.9,1.3,0.5917727272727272,0.7590476190476191,1.58276,0.0055454545454545,1
2020-12-01,2873.47,1093.9339130434782,10.527434782608694,0.9694347826086954,1.6756521739130437,29.47,1.16,20.90904761904762,95.64,47.02,0.1359090909090909,0.9336363636363636,-0.0982272727272727,22.37409090909091,238.67387096774192,60.5,53.0,12.6,0.6,1.2,0.7062173913043478,1.779545454545454,1.64952,0.3694347826086954,1
2021-03-01,3061.4199,1130.0417391304347,10.375347826086957,1.1165999999999998,2.043214285714285,31.67,1.24,25.12818181818182,63.8,62.33,0.1469565217391304,1.6108695652173912,-0.0664347826086956,21.84304347826087,176.70193548387095,64.7,50.6,16.3,1.9,1.7,0.9295714285714284,3.733478260869565,1.51384,-0.7834000000000001,1
2021-06-01,3296.6799,1122.773636363636,10.175090909090908,1.301909090909091,2.103090909090909,18.38,1.3,15.464090909090908,79.275,71.38,0.2027272727272727,1.5190909090909088,-0.0823636363636363,16.956818181818182,113.14600000000002,60.6,51.3,39.7,2.3,5.0,0.8011818181818184,1.8072727272727271,2.05519,-0.9980909090909088,1
2021-09-01,3068.8201,1173.0204545454544,10.630863636363635,1.5172272727272729,2.0625000000000004,14.72,1.21,15.544736842105264,-36.46666666666666,71.65,0.2409523809523809,1.3747619047619049,-0.0969523809523809,19.824761904761903,120.22966666666667,60.5,50.0,16.9,2.4,5.3,0.5452727272727274,1.6052380952380954,2.68414,-0.882772727272727,2
2021-12-01,2977.6499,1184.0221739130436,10.373347826086956,1.7994782608695654,2.1860434782608693,12.72,1.14,18.08636363636364,19.75,71.71,0.68,1.465,-0.0993181818181818,21.35454545454545,137.1274193548387,58.8,50.9,18.3,3.7,6.8,0.3865652173913043,1.4395454545454542,2.62031,-1.9005217391304348,2
2022-03-01,2757.6499,1220.37,10.269478260869564,2.3601304347826084,2.7767391304347826,12.58,1.12,22.55,40.825,108.5,1.9095652173913045,2.1278260869565218,-0.0718695652173913,26.968695652173903,186.61451612903227,57.1,48.1,18.8,4.1,7.9,0.4166086956521739,0.4139130434782608,3.0577,-1.7398695652173912,0
2022-06-01,2332.6399,1277.864090909091,9.509181818181816,3.4444090909090908,3.614636363636364,10.17,0.92,22.056,-7.033333333333334,114.84,2.998095238095238,3.1433333333333344,0.5257142857142858,28.233181818181823,133.46733333333333,53.0,51.7,5.3,6.0,8.6,0.1702272727272727,0.4023809523809524,4.22671,-2.555590909090909,2
2022-09-01,2155.49,1395.4636363636362,9.724045454545454,3.857863636363636,3.867272727272727,9.26,0.83,20.774,-2.225,84.26,3.8566666666666656,3.5190476190476194,1.1366666666666667,27.341818181818187,109.556,50.9,48.1,2.3,5.6,8.3,0.0094090909090908,-0.3376190476190476,4.17915,-1.7421363636363636,2
2022-12-01,2236.3999,1293.5177272727271,9.57268181818182,3.628363636363636,3.5392272727272727,10.76,0.84,17.757142857142856,19.15,76.44,4.288571428571428,3.616190476190476,1.356666666666667,21.78428571428572,132.44451612903228,48.4,49.0,-9.6,5.0,7.1,-0.0891363636363636,-0.6723809523809524,2.86812,-1.3716363636363638,0
2023-03-01,2476.8601,1303.8708695652174,9.738782608695653,3.4753043478260865,3.4600434782608698,11.97,0.93,17.904545454545453,45.95,73.28,4.302608695652173,3.6630434782608696,1.3608695652173914,21.64434782608696,140.28096774193548,46.3,50.0,-13.8,4.2,6.0,-0.0152608695652173,-0.6395652173913045,2.07325,-0.7246956521739136,0
